time,pH,V
2023-05-22 11:59:00.051111,1.3740000000000023,3.38
2023-05-22 11:59:00.154683,1.431000000000001,3.37
2023-05-22 11:59:00.252362,1.431000000000001,3.37
2023-05-22 11:59:00.355020,1.3740000000000023,3.38
2023-05-22 11:59:00.452700,1.431000000000001,3.37
2023-05-22 11:59:00.554990,1.3740000000000023,3.38
2023-05-22 11:59:00.654013,1.3740000000000023,3.38
2023-05-22 11:59:00.755735,1.431000000000001,3.37
2023-05-22 11:59:00.855172,1.431000000000001,3.37
2023-05-22 11:59:00.956923,1.431000000000001,3.37
2023-05-22 11:59:01.055835,1.3740000000000023,3.38
2023-05-22 11:59:01.158379,1.431000000000001,3.37
2023-05-22 11:59:01.260036,1.431000000000001,3.37
2023-05-22 11:59:01.358605,1.431000000000001,3.37
2023-05-22 11:59:01.461169,1.032,3.44
2023-05-22 11:59:01.558747,1.4879999999999995,3.36
2023-05-22 11:59:01.661846,1.1460000000000008,3.42
2023-05-22 11:59:01.759311,1.2600000000000016,3.4
2023-05-22 11:59:01.862355,1.3170000000000002,3.39
2023-05-22 11:59:01.959595,1.3170000000000002,3.39
2023-05-22 11:59:02.063332,1.3170000000000002,3.39
2023-05-22 11:59:02.165624,1.3170000000000002,3.39
2023-05-22 11:59:02.263741,1.3170000000000002,3.39
2023-05-22 11:59:02.365904,1.2600000000000016,3.4
2023-05-22 11:59:02.464379,1.2029999999999994,3.41
2023-05-22 11:59:02.567002,1.2029999999999994,3.41
2023-05-22 11:59:02.666084,1.2600000000000016,3.4
2023-05-22 11:59:02.766861,1.2600000000000016,3.4
2023-05-22 11:59:02.865988,1.2029999999999994,3.41
2023-05-22 11:59:02.968195,1.2600000000000016,3.4
2023-05-22 11:59:03.066225,1.2029999999999994,3.41
2023-05-22 11:59:03.168009,1.2029999999999994,3.41
2023-05-22 11:59:03.270587,1.2600000000000016,3.4
2023-05-22 11:59:03.369461,1.2029999999999994,3.41
2023-05-22 11:59:03.471943,1.2029999999999994,3.41
2023-05-22 11:59:03.570559,1.2029999999999994,3.41
2023-05-22 11:59:03.672872,1.2029999999999994,3.41
2023-05-22 11:59:03.769952,1.2029999999999994,3.41
2023-05-22 11:59:03.873483,1.2029999999999994,3.41
2023-05-22 11:59:03.970804,1.2029999999999994,3.41
2023-05-22 11:59:04.073906,1.2029999999999994,3.41
2023-05-22 11:59:04.175933,1.2029999999999994,3.41
2023-05-22 11:59:04.273949,1.1460000000000008,3.42
2023-05-22 11:59:04.375986,1.2029999999999994,3.41
2023-05-22 11:59:04.474994,1.2029999999999994,3.41
2023-05-22 11:59:04.577992,1.2029999999999994,3.41
2023-05-22 11:59:04.676353,1.2029999999999994,3.41
2023-05-22 11:59:04.777394,1.1460000000000008,3.42
2023-05-22 11:59:04.876709,1.2029999999999994,3.41
2023-05-22 11:59:04.978629,1.2029999999999994,3.41
2023-05-22 11:59:05.076650,1.2029999999999994,3.41
2023-05-22 11:59:05.179959,1.2029999999999994,3.41
2023-05-22 11:59:05.281503,1.2600000000000016,3.4
2023-05-22 11:59:05.380542,1.2600000000000016,3.4
2023-05-22 11:59:05.482569,1.2029999999999994,3.41
2023-05-22 11:59:05.580586,1.2600000000000016,3.4
2023-05-22 11:59:05.683598,1.2600000000000016,3.4
2023-05-22 11:59:05.781618,1.3170000000000002,3.39
2023-05-22 11:59:05.883642,1.3170000000000002,3.39
2023-05-22 11:59:05.981663,1.3170000000000002,3.39
2023-05-22 11:59:06.084690,1.3740000000000023,3.38
2023-05-22 11:59:06.186710,1.3740000000000023,3.38
2023-05-22 11:59:06.284744,1.3740000000000023,3.38
2023-05-22 11:59:06.386755,1.3740000000000023,3.38
2023-05-22 11:59:06.485775,1.3170000000000002,3.39
2023-05-22 11:59:06.588807,1.3740000000000023,3.38
2023-05-22 11:59:06.687766,1.431000000000001,3.37
2023-05-22 11:59:06.789506,1.431000000000001,3.37
2023-05-22 11:59:06.886936,1.3740000000000023,3.38
